index,source,txt_empty,rowContainsCode_gpt4o,wme$wo_prompt$Ray2333/Gemma-2B-rewardmodel-baseline$chosen,wme$wo_prompt$Ray2333/Gemma-2B-rewardmodel-baseline$rejected,wme$wo_prompt$NCSOFT/Llama-3-OffsetBias-RM-8B$chosen,wme$wo_prompt$NCSOFT/Llama-3-OffsetBias-RM-8B$rejected,wme$wo_prompt$internlm/internlm2-1_8b-reward$chosen,wme$wo_prompt$internlm/internlm2-1_8b-reward$rejected,wme$wo_prompt$weqweasdas/RM-Mistral-7B$chosen,wme$wo_prompt$weqweasdas/RM-Mistral-7B$rejected,wme$wo_prompt$allenai/llama-3-tulu-2-8b-uf-mean-rm$chosen,wme$wo_prompt$allenai/llama-3-tulu-2-8b-uf-mean-rm$rejected,wme$wo_prompt$sfairXC/FsfairX-LLaMA3-RM-v0.1$chosen,wme$wo_prompt$sfairXC/FsfairX-LLaMA3-RM-v0.1$rejected,wme$wo_prompt$Ray2333/reward-model-Mistral-7B-instruct-Unified-Feedback$chosen,wme$wo_prompt$Ray2333/reward-model-Mistral-7B-instruct-Unified-Feedback$rejected,wme$wo_prompt$allenai/tulu-2-dpo-7b$chosen,wme$wo_prompt$allenai/tulu-2-dpo-7b$rejected,wme$wo_prompt$Ray2333/GRM-llama3-8B-distill$chosen,wme$wo_prompt$Ray2333/GRM-llama3-8B-distill$rejected,wme$wo_prompt$CIR-AMS/BTRM_Qwen2_7b_0613$chosen,wme$wo_prompt$CIR-AMS/BTRM_Qwen2_7b_0613$rejected,wme$wo_prompt$0-hero/Matter-0.1-7B-boost-DPO-preview$chosen,wme$wo_prompt$0-hero/Matter-0.1-7B-boost-DPO-preview$rejected,wme$wo_prompt$Qwen/Qwen1.5-7B-Chat$chosen,wme$wo_prompt$Qwen/Qwen1.5-7B-Chat$rejected,wme$wo_prompt$NousResearch/Nous-Hermes-2-Mistral-7B-DPO$chosen,wme$wo_prompt$NousResearch/Nous-Hermes-2-Mistral-7B-DPO$rejected,wme$wo_prompt$openbmb/Eurus-RM-7b$chosen,wme$wo_prompt$openbmb/Eurus-RM-7b$rejected,wme$wo_prompt$internlm/internlm2-20b-reward$chosen,wme$wo_prompt$internlm/internlm2-20b-reward$rejected,wme$wo_prompt$allenai/tulu-v2.5-13b-preference-mix-rm$chosen,wme$wo_prompt$allenai/tulu-v2.5-13b-preference-mix-rm$rejected,wme$wo_prompt$upstage/SOLAR-10.7B-Instruct-v1.0$chosen,wme$wo_prompt$upstage/SOLAR-10.7B-Instruct-v1.0$rejected,aal$wo_prompt$Ray2333/Gemma-2B-rewardmodel-baseline$chosen,aal$wo_prompt$Ray2333/Gemma-2B-rewardmodel-baseline$rejected,aal$wo_prompt$NCSOFT/Llama-3-OffsetBias-RM-8B$chosen,aal$wo_prompt$NCSOFT/Llama-3-OffsetBias-RM-8B$rejected,aal$wo_prompt$internlm/internlm2-1_8b-reward$chosen,aal$wo_prompt$internlm/internlm2-1_8b-reward$rejected,aal$wo_prompt$weqweasdas/RM-Mistral-7B$chosen,aal$wo_prompt$weqweasdas/RM-Mistral-7B$rejected,aal$wo_prompt$allenai/llama-3-tulu-2-8b-uf-mean-rm$chosen,aal$wo_prompt$allenai/llama-3-tulu-2-8b-uf-mean-rm$rejected,aal$wo_prompt$sfairXC/FsfairX-LLaMA3-RM-v0.1$chosen,aal$wo_prompt$sfairXC/FsfairX-LLaMA3-RM-v0.1$rejected,aal$wo_prompt$Ray2333/reward-model-Mistral-7B-instruct-Unified-Feedback$chosen,aal$wo_prompt$Ray2333/reward-model-Mistral-7B-instruct-Unified-Feedback$rejected,aal$wo_prompt$allenai/tulu-2-dpo-7b$chosen,aal$wo_prompt$allenai/tulu-2-dpo-7b$rejected,aal$wo_prompt$Ray2333/GRM-llama3-8B-distill$chosen,aal$wo_prompt$Ray2333/GRM-llama3-8B-distill$rejected,aal$wo_prompt$CIR-AMS/BTRM_Qwen2_7b_0613$chosen,aal$wo_prompt$CIR-AMS/BTRM_Qwen2_7b_0613$rejected,aal$wo_prompt$0-hero/Matter-0.1-7B-boost-DPO-preview$chosen,aal$wo_prompt$0-hero/Matter-0.1-7B-boost-DPO-preview$rejected,aal$wo_prompt$Qwen/Qwen1.5-7B-Chat$chosen,aal$wo_prompt$Qwen/Qwen1.5-7B-Chat$rejected,aal$wo_prompt$NousResearch/Nous-Hermes-2-Mistral-7B-DPO$chosen,aal$wo_prompt$NousResearch/Nous-Hermes-2-Mistral-7B-DPO$rejected,aal$wo_prompt$openbmb/Eurus-RM-7b$chosen,aal$wo_prompt$openbmb/Eurus-RM-7b$rejected,aal$wo_prompt$internlm/internlm2-20b-reward$chosen,aal$wo_prompt$internlm/internlm2-20b-reward$rejected,aal$wo_prompt$allenai/tulu-v2.5-13b-preference-mix-rm$chosen,aal$wo_prompt$allenai/tulu-v2.5-13b-preference-mix-rm$rejected,aal$wo_prompt$upstage/SOLAR-10.7B-Instruct-v1.0$chosen,aal$wo_prompt$upstage/SOLAR-10.7B-Instruct-v1.0$rejected
0,groenwold,,False,-6.53125,-6.53125,-6.69140625,-6.69140625,-1.953125,-1.953125,-2.021484375,-2.021484375,21.265625,21.265625,-7.75390625,-7.75390625,-7.58984375,-7.58984375,-31.514297485351562,-31.514297485351562,-2.591796875,-2.591796875,-10.03125,-10.03125,-16.134536743164062,-16.134536743164062,-56.876800537109375,-56.876800537109375,-25.711959838867188,-25.711959838867188,-463.0,-463.0,-0.63525390625,-0.63525390625,-9.2578125,-9.2578125,-74.68533325195312,-74.68533325195312,-6.734375,-6.734375,-6.40625,-6.40625,-2.25,-2.25,-1.865234375,-1.865234375,17.890625,17.890625,-7.55859375,-7.55859375,-8.5,-8.5,-29.942977905273438,-29.942977905273438,-2.60546875,-2.60546875,-10.953125,-10.953125,-17.5235595703125,-17.5235595703125,-63.92327880859375,-63.92327880859375,-19.530731201171875,-19.530731201171875,-501.75,-501.75,-0.85546875,-0.85546875,-8.9921875,-8.9921875,-62.692962646484375,-62.692962646484375
1,groenwold,,False,-8.609375,-8.609375,-6.71875,-6.71875,-1.9638671875,-1.9638671875,-3.908203125,-3.908203125,15.1953125,15.1953125,-9.515625,-9.515625,-9.96875,-9.96875,-26.5830078125,-26.5830078125,-5.48828125,-5.48828125,-11.8515625,-11.8515625,-23.8363037109375,-23.8363037109375,-114.96180725097656,-114.96180725097656,-24.8404541015625,-24.8404541015625,-759.0,-759.0,-1.7373046875,-1.7373046875,-9.234375,-9.234375,-99.5879898071289,-99.5879898071289,-7.6484375,-7.6484375,-6.60546875,-6.60546875,-1.861328125,-1.861328125,-3.26171875,-3.26171875,18.984375,18.984375,-8.546875,-8.546875,-9.171875,-9.171875,-17.748016357421875,-17.748016357421875,-3.880859375,-3.880859375,-11.640625,-11.640625,-17.243072509765625,-17.243072509765625,-71.04997253417969,-71.04997253417969,-19.53790283203125,-19.53790283203125,-791.5,-791.5,-1.6787109375,-1.6787109375,-9.1171875,-9.1171875,-38.76771545410156,-38.76771545410156
2,groenwold,,False,-7.26171875,-7.26171875,-6.86328125,-6.86328125,-1.5068359375,-1.5068359375,-3.619140625,-3.619140625,20.0625,20.0625,-8.8515625,-8.8515625,-9.328125,-9.328125,-22.7689208984375,-22.7689208984375,-4.25390625,-4.25390625,-11.125,-11.125,-14.331222534179688,-14.331222534179688,-86.63480377197266,-86.63480377197266,-19.593292236328125,-19.593292236328125,-713.5,-713.5,-1.3203125,-1.3203125,-10.46875,-10.46875,-84.83102416992188,-84.83102416992188,-7.99609375,-7.99609375,-6.64453125,-6.64453125,-1.228515625,-1.228515625,-3.537109375,-3.537109375,19.859375,19.859375,-9.2421875,-9.2421875,-8.859375,-8.859375,-17.63818359375,-17.63818359375,-4.6328125,-4.6328125,-11.859375,-11.859375,-17.435791015625,-17.435791015625,-127.0282974243164,-127.0282974243164,-26.926727294921875,-26.926727294921875,-808.0,-808.0,-1.4130859375,-1.4130859375,-10.1171875,-10.1171875,-65.01934814453125,-65.01934814453125
3,groenwold,,False,-5.97265625,-5.97265625,-6.4140625,-6.4140625,-2.419921875,-2.419921875,-2.775390625,-2.775390625,20.65625,20.65625,-8.25,-8.25,-8.8515625,-8.8515625,-24.048095703125,-24.048095703125,-4.1484375,-4.1484375,-11.1640625,-11.1640625,-21.212493896484375,-21.212493896484375,-83.955810546875,-83.955810546875,-12.333740234375,-12.333740234375,-782.5,-782.5,-1.875,-1.875,-10.8125,-10.8125,-95.55377197265625,-95.55377197265625,-7.078125,-7.078125,-6.95703125,-6.95703125,-1.9970703125,-1.9970703125,-3.298828125,-3.298828125,18.921875,18.921875,-9.0234375,-9.0234375,-9.6171875,-9.6171875,-27.925872802734375,-27.925872802734375,-3.25390625,-3.25390625,-12.3046875,-12.3046875,-18.344757080078125,-18.344757080078125,-117.84912109375,-117.84912109375,-14.729705810546875,-14.729705810546875,-824.5,-824.5,-1.49609375,-1.49609375,-11.484375,-11.484375,-78.97744750976562,-78.97744750976562
4,groenwold,,False,-7.67578125,-7.67578125,-6.2734375,-6.2734375,-1.3173828125,-1.3173828125,-2.873046875,-2.873046875,19.25,19.25,-7.921875,-7.921875,-8.5703125,-8.5703125,-36.81727600097656,-36.81727600097656,-4.0234375,-4.0234375,-10.078125,-10.078125,-21.972091674804688,-21.972091674804688,-88.55984497070312,-88.55984497070312,-9.851593017578125,-9.851593017578125,-649.5,-649.5,-0.54345703125,-0.54345703125,-9.734375,-9.734375,-78.28321838378906,-78.28321838378906,-7.9453125,-7.9453125,-6.0234375,-6.0234375,-1.7255859375,-1.7255859375,-2.810546875,-2.810546875,20.6875,20.6875,-8.0625,-8.0625,-8.7890625,-8.7890625,-31.186813354492188,-31.186813354492188,-4.03515625,-4.03515625,-10.4296875,-10.4296875,-17.892562866210938,-17.892562866210938,-85.47918701171875,-85.47918701171875,-19.888336181640625,-19.888336181640625,-655.0,-655.0,-0.79345703125,-0.79345703125,-9.734375,-9.734375,-72.86900329589844,-72.86900329589844
5,groenwold,,False,-8.2265625,-8.2265625,-6.10546875,-6.10546875,-1.6240234375,-1.6240234375,-3.712890625,-3.712890625,19.90625,19.90625,-8.109375,-8.109375,-9.5390625,-9.5390625,-22.7081298828125,-22.7081298828125,-2.439453125,-2.439453125,-10.921875,-10.921875,-18.5048828125,-18.5048828125,-78.4932861328125,-78.4932861328125,-11.678619384765625,-11.678619384765625,-738.5,-738.5,-1.3662109375,-1.3662109375,-10.28125,-10.28125,-87.32962036132812,-87.32962036132812,-8.4765625,-8.4765625,-6.453125,-6.453125,-1.5966796875,-1.5966796875,-4.20703125,-4.20703125,20.515625,20.515625,-8.625,-8.625,-9.46875,-9.46875,-23.959701538085938,-23.959701538085938,-3.259765625,-3.259765625,-12.1953125,-12.1953125,-14.3199462890625,-14.3199462890625,-76.44215393066406,-76.44215393066406,-11.693695068359375,-11.693695068359375,-747.5,-747.5,-1.1142578125,-1.1142578125,-9.890625,-9.890625,-77.32107543945312,-77.32107543945312
6,groenwold,,False,-6.765625,-6.765625,-5.5625,-5.5625,-0.345458984375,-0.345458984375,-1.78515625,-1.78515625,24.34375,24.34375,-7.5859375,-7.5859375,-7.2109375,-7.2109375,-25.174041748046875,-25.174041748046875,-4.26171875,-4.26171875,-8.8828125,-8.8828125,-14.011322021484375,-14.011322021484375,-75.67591857910156,-75.67591857910156,-25.672805786132812,-25.672805786132812,-398.25,-398.25,-0.064697265625,-0.064697265625,-12.34375,-12.34375,-65.62728881835938,-65.62728881835938,-8.6171875,-8.6171875,-5.3046875,-5.3046875,-0.8720703125,-0.8720703125,-2.375,-2.375,23.328125,23.328125,-8.3359375,-8.3359375,-7.94140625,-7.94140625,-16.98638916015625,-16.98638916015625,-4.0,-4.0,-10.5859375,-10.5859375,-17.147506713867188,-17.147506713867188,-41.74974060058594,-41.74974060058594,-18.128387451171875,-18.128387451171875,-649.0,-649.0,-0.364990234375,-0.364990234375,-12.8828125,-12.8828125,-65.02792358398438,-65.02792358398438
7,groenwold,,False,-6.28125,-6.28125,-6.37109375,-6.37109375,-2.06640625,-2.06640625,-3.935546875,-3.935546875,18.703125,18.703125,-8.3046875,-8.3046875,-8.8125,-8.8125,-30.668930053710938,-30.668930053710938,-4.82421875,-4.82421875,-12.7734375,-12.7734375,-23.179443359375,-23.179443359375,-62.505706787109375,-62.505706787109375,-14.981430053710938,-14.981430053710938,-769.0,-769.0,-1.498046875,-1.498046875,-9.4765625,-9.4765625,-105.02082824707031,-105.02082824707031,-6.8515625,-6.8515625,-6.3046875,-6.3046875,-2.4765625,-2.4765625,-3.193359375,-3.193359375,18.828125,18.828125,-8.296875,-8.296875,-8.9765625,-8.9765625,-22.971725463867188,-22.971725463867188,-4.484375,-4.484375,-13.2578125,-13.2578125,-16.479721069335938,-16.479721069335938,-81.28671264648438,-81.28671264648438,-29.728256225585938,-29.728256225585938,-811.0,-811.0,-1.7861328125,-1.7861328125,-8.6953125,-8.6953125,-81.52679443359375,-81.52679443359375
8,groenwold,,False,-9.078125,-9.078125,-6.26953125,-6.26953125,-1.978515625,-1.978515625,-4.0,-4.0,19.296875,19.296875,-9.1484375,-9.1484375,-10.046875,-10.046875,-26.196365356445312,-26.196365356445312,-6.09375,-6.09375,-11.3125,-11.3125,-19.57293701171875,-19.57293701171875,-89.45095825195312,-89.45095825195312,-32.19056701660156,-32.19056701660156,-853.5,-853.5,-1.2978515625,-1.2978515625,-11.5,-11.5,-111.68331909179688,-111.68331909179688,-7.73046875,-7.73046875,-6.78515625,-6.78515625,-2.0,-2.0,-2.84375,-2.84375,20.296875,20.296875,-8.9140625,-8.9140625,-8.8515625,-8.8515625,-20.344100952148438,-20.344100952148438,-4.05859375,-4.05859375,-11.390625,-11.390625,-17.101638793945312,-17.101638793945312,-166.73422241210938,-166.73422241210938,-27.469879150390625,-27.469879150390625,-772.0,-772.0,-1.08984375,-1.08984375,-12.2265625,-12.2265625,-72.4285888671875,-72.4285888671875
9,groenwold,,False,-9.2890625,-9.2890625,-6.26953125,-6.26953125,-1.9267578125,-1.9267578125,-3.8125,-3.8125,19.0,19.0,-8.6328125,-8.6328125,-9.453125,-9.453125,-27.553741455078125,-27.553741455078125,-4.32421875,-4.32421875,-11.4609375,-11.4609375,-22.198562622070312,-22.198562622070312,-83.55351257324219,-83.55351257324219,-16.971954345703125,-16.971954345703125,-808.5,-808.5,-1.4130859375,-1.4130859375,-10.46875,-10.46875,-67.62248229980469,-67.62248229980469,-6.71484375,-6.71484375,-7.359375,-7.359375,-2.439453125,-2.439453125,-2.798828125,-2.798828125,18.59375,18.59375,-8.0625,-8.0625,-9.2265625,-9.2265625,-19.2230224609375,-19.2230224609375,-2.427734375,-2.427734375,-11.90625,-11.90625,-16.396041870117188,-16.396041870117188,-78.19512939453125,-78.19512939453125,-20.368255615234375,-20.368255615234375,-786.5,-786.5,-2.072265625,-2.072265625,-8.7578125,-8.7578125,-23.421722412109375,-23.421722412109375
